Student Ranking Order (Rank, ID):
4, 822331
144, 668801
422, 45703
1186, 164553
1637, 856763
1788, 997166
2090, 662123
2227, 758655
2300, 242592
3026, 80522
3344, 363927
3628, 941447
3635, 322585
3803, 434925
3997, 696131
4278, 56804
4324, 204383
4416, 624160
4443, 965694
4618, 883024
4695, 492339
4702, 945753
4724, 742617
4780, 808540
4789, 350438
4934, 344190
5190, 568372
5500, 733275
5600, 924258
5621, 533190
5743, 343249
5815, 220026
5965, 137193
6379, 564067
6422, 989559
6456, 500864
6595, 405086
6658, 236836
6662, 328388
6891, 782974
6893, 338474
7009, 934683
7446, 391762
7548, 477515
7863, 633328
8149, 904929
8313, 91493
8798, 813993
8960, 287071
9178, 914700
9423, 50808
9628, 171010
10050, 261397
10445, 155007
10599, 681364
10618, 81044
10694, 458588
10936, 589343
11050, 386922
11450, 303298
11731, 365302
12308, 931154
12361, 28226
12604, 638702
12866, 323905
12938, 354915
13135, 299254
13409, 838351
13511, 716429
13697, 601592
13756, 858028
14468, 904694
15258, 874416
15299, 672208
15437, 857687
16138, 999782
17132, 87252
17150, 217229
17538, 590776
17703, 669149
17989, 792675
18497, 24217
18601, 565542
18827, 109465
19153, 39378
19273, 982233
19584, 277312
19589, 785212
19681, 23306
19996, 953503
20340, 789521
20369, 407256
20404, 848844
20886, 919011
21204, 581652
21455, 830848
21617, 922102
21902, 427314
22202, 448980
22759, 32156
23365, 552234
23457, 160967
23462, 949305
23523, 913857
23662, 212661
24086, 758628
24251, 513260
24355, 585468
24903, 362035
24915, 278022
25009, 68870
25411, 847396
25436, 985330
25544, 145588
25765, 380609
25830, 62545
25985, 64278
26059, 244001
26265, 981548
26494, 556149
26770, 831592
26949, 191420
27178, 784698
27870, 561860
28240, 571310
28256, 767447
28710, 460246
28967, 579780
29171, 465716
29369, 844159
29556, 53055
29874, 78988
30220, 499977
30357, 339458
30614, 653055
30649, 720245
30697, 806718
30921, 335068
31020, 319736
31094, 581888
31178, 780954
31465, 787324
31491, 48006
31737, 239729
31745, 205928
31796, 276069
31959, 850182
32028, 198178
32225, 114428
32621, 400419
32706, 461365
32728, 577071
33115, 10932
33251, 885475
33658, 854580
33724, 265792
33910, 923831
34059, 633139
34134, 693536
34353, 699434
34515, 126899
34617, 524959
34744, 421745
34891, 463553
35713, 563733
35825, 860970
35833, 133899
35993, 390688
36114, 568997
36229, 406070
36422, 143617
36687, 362686
36924, 306811
37100, 45425
37121, 235696
37268, 273103
37383, 685124
37727, 850666
38181, 950260
38445, 20482
38558, 690208
38720, 921634
38825, 448585
39129, 269575
39206, 466649
39572, 249558
39588, 518188
39945, 9919
39997, 752296
40002, 551356
40015, 496901
40093, 183034
40122, 450111
40488, 643479
40711, 338137
40879, 917931
41334, 967514
41610, 598925
41787, 418771
42102, 187933
42155, 109130
42501, 157689
42504, 776005
42673, 112042
42900, 527295
43048, 503195
43192, 857928
43249, 699931
43267, 53099
43272, 639101
43428, 297834
44139, 983551
44430, 606179
44458, 367249
44686, 733783
44906, 974736
45087, 534531
45638, 88678
46177, 282817
46191, 970788
46311, 683581
46663, 99311
46872, 241723
47056, 669133
47678, 868212
47774, 73547
47789, 869052
48275, 535960
48404, 917579
48874, 951289
49723, 40518
50156, 806619
50298, 555007
51136, 498930
51230, 536943
51302, 343193
51339, 34026
51881, 568307
52072, 334043
52136, 350511
52487, 176632
52508, 745794
52521, 497872
52639, 984325
53006, 28923
53234, 51164
53580, 74118
53592, 316693
54160, 238943
54271, 182565
54408, 976832
54442, 637293
55252, 456677
55897, 780806
56207, 932660
56232, 916062
56344, 535670
56363, 29212
56371, 98863
56401, 847286
56599, 374189
56615, 368120
56752, 10266
56793, 148984
57018, 351278
57047, 129806
57082, 693596
57200, 766416
57235, 905976
57635, 217634
57685, 291361
57726, 474092
58188, 206974
58327, 175426
58486, 641395
58795, 50404
58963, 689167
59000, 399175
59680, 856836
59827, 916720
59864, 751537
59939, 471191
60008, 155484
60066, 693221
60135, 349134
60507, 677420
60579, 177798
60782, 807090
60803, 340414
60972, 846295
61156, 647996
61253, 553756
61304, 694461
61407, 345122
61727, 986777
61875, 998414
62037, 168506
62116, 889040
62975, 374644
63006, 881535
63128, 439816
63328, 685149
63415, 887901
63598, 73268
63603, 971708
63819, 470084
64120, 984520
64951, 157725
65290, 121299
65477, 996166
65490, 576032
65532, 782023
65607, 689658
65881, 731871
66212, 689628
66333, 226136
66343, 280506
66594, 905846
66816, 304752
66908, 535253
67045, 596147
67313, 428323
67547, 841635
67727, 406558
67913, 512262
67987, 156711
68026, 901629
68136, 729268
68463, 890548
68541, 466441
68560, 75349
68622, 799938
68970, 991829
69101, 530503
69328, 97409
69813, 837603
69854, 492655
69907, 533843
70144, 758808
70481, 72379
71020, 889050
71095, 421639
71419, 261724
71424, 144003
71466, 626026
71586, 266628
71996, 849487
72093, 654387
72309, 605305
72852, 386069
72904, 132475
73048, 983242
73220, 363028
73554, 206844
73680, 156435
73721, 256807
73853, 992213
73871, 571403
74335, 215916
74482, 986042
74514, 68403
74666, 579119
75010, 828766
75862, 854036
75913, 81244
75957, 675791
75973, 567721
76119, 559248
76426, 930856
76704, 316019
